Primary DBID	Systematic Name	Standard Name	Name	Feature Type	Function Summary	Description	Gene Summary
S000001189	YHR146W	CRP1	Cruciform DNA-Recognizing Protein	ORF	DNA binding protein; localizes to nucleus	"Protein that binds to cruciform DNA structures; CRP1 has a paralog, MDG1, that arose from the whole genome duplication"	
S000001190	YHR147C	MRPL6	"Mitochondrial Ribosomal Protein, Large subunit"	ORF	"Component of the large subunit of the mitochondrial ribosome, which mediates translation in the mitochondrion"	Mitochondrial ribosomal protein of the large subunit	
S000001191	YHR148W	IMP3	Interacting with Mpp10p	ORF		"Component of the SSU processome; SSU processome is required for pre-18S rRNA processing, essential protein that interacts with Mpp10p and mediates interactions of Imp4p and Mpp10p with U3 snoRNA"	
S000001192	YHR149C	SKG6	Suppressor of lethality of Kex2 Gas1 double null mutant	ORF	"Negative regulator of cytokinesis; integral component of the membrane that localizes to the incipient bud site, bud tip, bud neck and cell periphery"	"Integral membrane protein; localizes primarily to growing sites such as the bud tip or the cell periphery; potential Cdc28p substrate; Skg6p interacts with Zds1p and Zds2p; SKG6 has a paralog, TOS2, that arose from the whole genome duplication"	
S000001193	YHR150W	PEX28	PEroXisome related	ORF	Peroxisomal membrane protein involved in the organization and biogenesis of peroxisomes	"Peroxisomal integral membrane peroxin; involved in the regulation of peroxisomal size, number and distribution; genetic interactions suggest that Pex28p and Pex29p act at steps upstream of those mediated by Pex30p, Pex31p, and Pex32p"	
S000001194	YHR151C	MTC6	Maintenance of Telomere Capping	ORF	Protein whose biological role is unknown; localizes to the vacuole	Protein of unknown function; mtc6 is synthetically sick with cdc13-1; SWAT-GFP and mCherry fusion proteins localize to the vacuole while SWAT-GFP fusion also localizes to the endoplasmic reticulum	
S000001195	YHR152W	SPO12	SPOrulation	ORF	Protein involved in meiosis and regulation of mitotic exit; localized to the nucleolus	"Nucleolar protein of unknown function; positive regulator of mitotic exit; involved in regulating release of Cdc14p from the nucleolus in early anaphase, may play similar role in meiosis; SPO12 has a paralog, BNS1, that arose from the whole genome duplication"	
S000001196	YHR153C	SPO16	SPOrulation	ORF	"Protein involved in ascospore formation, protein sumolyation, meiotic recombination and synaptonemal complex assembly; localizes to the condensed nuclear chromosome"	Meiosis-specific protein involved in synaptonemal complex assembly; implicated in regulation of crossover formation; required for sporulation	
S000001197	YHR154W	RTT107	Regulator of Ty1 Transposition	ORF	Chromatin-binding subunit of the CUL8-RING ubiquitin ligase complex; involved in double-strand break repair and processing; regulates DNA damage checkpoint signaling	BRCA1 C-terminal domain protein needed for recovery from DNA damage; implicated in Mms22-dependent DNA repair during S phase; involved in recruiting SMC5/6 complex to double-strand breaks; DNA damage induces phosphorylation by Mec1p at one or more SQ/TQ motifs; interacts with Mms22p and Slx4p; has four BRCT domains; has a role in regulation of Ty1 transposition; relative distribution to nuclear foci increases upon DNA replication stress	
S000001198	YHR155W	LAM1	Lipid transfer protein Anchored at Membrane contact sites	ORF	Putative sterol transfer protein with a role in intracellular sterol transport; localizes to mitochondria and cortical ER	"Putative sterol transfer protein; localizes to puncta in the cortical ER; probable role in retrograde transport of sterols from the plasma membrane to the ER; one of six StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes; contains GRAM, StART-like (VASt) and two PH-like domains"	
S000001199	YHR156C	LIN1	LINk	ORF	Protein-binding subunit of U5 snRNP; localizes to chromatin	"Non-essential component of U5 snRNP; nuclear protein; physically interacts with Irr1p of cohesin complex; may link together proteins involved in chromosome segregation, mRNA splicing and DNA replication"	
S000001200	YHR157W	REC104	RECombination	ORF		Protein involved in early stages of meiotic recombination; required for meiotic crossing over; forms a complex with Rec102p and Spo11p necessary during the initiation of recombination	
S000001201	YHR158C	KEL1	KELch repeat	ORF		"Protein required for proper cell fusion and cell morphology; acts as phosphorylation-regulated noise suppressor of pheromone signaling pathway; forms a complex with Bud14p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; functions in a complex with Kel2p to negatively regulate mitotic exit, interacts with Tem1p and Lte1p; localizes to regions of polarized growth; potential Cdc28p substrate"	
S000001202	YHR159W	TDA11	Topoisomerase I Damage Affected	ORF	Protein whose biological role is unknown; localizes to the cytoplasm in a large-scale study	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; potential Cdc28p substrate; null mutant is sensitive to expression of the top1-T722A allele	
S000001203	YHR160C	PEX18	PEroXin	ORF	Peroxisomal protein involved in the import of proteins into the peroxisomal matrix	"Peroxin; required for targeting of peroxisomal matrix proteins containing PTS2; interacts with Pex7p; partially redundant with Pex21p; primarily responsible for peroxisomal import during growth on oleate, and expression is induced during oleate growth"	
S000001204	YHR161C	YAP1801	Yeast Assembly Polypeptide	ORF	Clathrin-binding protein involved in endocytosis; localizes to prospore membrane and bud neck	"Protein of the AP180 family, involved in clathrin cage assembly; binds Pan1p and clathrin; YAP1801 has a paralog, YAP1802, that arose from the whole genome duplication"	
S000001205	YHR162W	MPC2	Mitochondrial Pyruvate Carrier	ORF	Integral membrane protein of the mitochondrial inner membrane with pyruvate transporter activity	"Highly conserved subunit of the mitochondrial pyruvate carrier (MPC); expressed during growth on fermentable carbon sources, and heterodimerizes with Mpc1p to form the fermentative isoform of MPC; MPC localizes to the mitochondrial inner membrane and mediates pyruvate uptake; MPC2 paralog, MPC3, heterodimerizes with Mpc1p to form the respiratory MPC isoform"	
S000001206	YHR163W	SOL3	Suppressor Of Los1-1	ORF	6-phosphogluconolactonase involved in the oxidative branch of the pentose-phosphate shunt; localizes to both the nucleus and cytoplasm	"6-phosphogluconolactonase; catalyzes the second step of the pentose phosphate pathway; weak multicopy suppressor of los1-1 mutation; homologous to Sol2p and Sol1p; SOL3 has a paralog, SOL4, that arose from the whole genome duplication"	
S000001207	YHR164C	DNA2	DNA synthesis defective	ORF	"5'-flap endonuclease and ATP-dependent DNA helicase involved in lagging strand (Okazaki fragment) DNA elongation, DNA double-strand break processing, and telomere maintenance"	"ATP-dependent 5'-flap endonuclease and DNA helicase; tracking protein for flap cleavage during Okazaki fragment maturation; involved in DNA repair/processing of meiotic DNA double strand breaks; cell cycle-dependent localization to telomeric chromatin and replicating chromosomes; required for telomerase-dependent telomere synthesis; stability, localization and nuclease activity regulated by sumoylation; forms nuclear foci upon replication stress; human homolog DNA2 complements yeast dna2 mutant"	
S000001208	YHR165C	PRP8	Pre-mRNA Processing	ORF	Pre-mRNA intron-binding component of the U4/U6 x U5 tri-snRNP complex; involved in mRNA 3'- and 5'-splice site recognition and conformational rearrangement of the spliceosomal complex containing RNA products from the 1st step of splicing to form catalytic site for the second step of splicing	"Component of U4/U6-U5 snRNP complex; involved in second catalytic step of splicing; participates in spliceosomal assembly through its interaction with U1 snRNA; largest and most evolutionarily conserved protein of the spliceosome; mutations in human ortholog, PRPF8, cause Retinitis pigmentosa and missplicing in Myelodysplastic syndrome; mouse ortholog interacts with androgen receptor and may have a role in prostate cancer"	
S000001209	YHR166C	CDC23	Cell Division Cycle	ORF	Subunit of the anaphase-promoting complex; involved in catabolism of anaphase inhibitors via ubiquitin ligase activity	"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition"	
S000001210	YHR167W	THP2	THO2 - HPR1 Phenotype	ORF	"Nucleic acid-binding protein involved in coupling transcription to nuclear mRNA export, DNA recombination, stress granule assembly, and telomere maintenance; subunit of nucleoplasmic THO subcomplex of TREX transcription export complex"	"Subunit of the THO and TREX complexes; THO connects transcription elongation and mitotic recombination, and TREX is recruited to activated genes and couples transcription to mRNA export; involved in telomere maintenance"	
S000001211	YHR168W	MTG2	MiTochondrial Gtpase 2	ORF	Ribosome-binding protein involved in cytoplasmic translation; localizes to inner mitochondrial membrane	"Putative GTPase; member of the Obg family; peripheral protein of the mitochondrial inner membrane that associates with the large ribosomal subunit; required for mitochondrial translation, possibly via a role in ribosome assembly"	
S000001212	YHR169W	DBP8	Dead Box Protein	ORF	"ATP-dependent RNA helicase required for assembly of small ribosomal subunit, involved in endonucleolytic cleavage in the ITS1 that separates small subunit rRNA from tricistronic rRNA transcript; localizes in 90S preribosome in nucleolus"	"ATPase, putative RNA helicase of the DEAD-box family; component of 90S preribosome complex involved in production of 18S rRNA and assembly of 40S small ribosomal subunit; ATPase activity stimulated by association with Esf2p"	
S000001213	YHR170W	NMD3	Nonsense-Mediated mRNA Decay	ORF	Cytosolic protein involved in ribosomal large subunit export from nucleus; localizes to preribosomal large subunit precursor in high-throughput studies	Protein involved in nuclear export of the large ribosomal subunit; acts as a Crm1p-dependent adapter protein for export of nascent ribosomal subunits through the nuclear pore complex	
S000001214	YHR171W	ATG7	AuTophaGy related	ORF	"Atg8 and Atg12 activating enzyme; involved in macroautophagy, cytoplasm-to-vacuole targeting (CVT) pathway, late nucleophagy, piecemeal microautophagy of nucleus, protein lipidation and mitochondrion degradation; localizes to the pre-autophagosomal structure (PAS) and mitochondrion"	Autophagy-related protein and dual specificity member of the E1 family; mediates the attachment of Atg12p to Atg5p and Atg8p to phosphatidylethanolamine which are required steps in autophagosome formation; E1 enzymes are also known as ubiquitin-activating enzymes; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner	
